s,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",24-02-2026 15:00,9.865935,78.022669,PM10,NA,NA,NA
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",24-02-2026 15:00,17.540891,78.358528,PM2.5,27,97,61
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",24-02-2026 15:00,17.540891,78.358528,CO,4,100,42
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",24-02-2026 15:00,26.253384,72.976571,SO2,1,47,9
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",24-02-2026 15:00,26.506177,77.025989,PM10,43,154,78
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",24-02-2026 15:00,25.16409,75.858137,NH3,6,9,7
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",24-02-2026 15:00,25.16409,75.858137,CO,16,78,34
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",24-02-2026 15:00,25.196024,75.855668,NO2,14,93,48
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",24-02-2026 15:00,13.164544,80.26285,PM10,34,59,46
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",24-02-2026 15:00,12.9533,80.2357,PM10,8,57,31
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",24-02-2026 15:00,27.213494,73.734444,NO2,12,95,26
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",24-02-2026 15:00,28.406963,77.849831,CO,21,92,69
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",24-02-2026 15:00,27.168897,78.37696,NO2,17,17,17
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",24-02-2026 15:00,27.168897,78.37696,NH3,2,2,2
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",24-02-2026 15:00,27.168897,78.37696,SO2,16,54,27
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",24-02-2026 15:00,27.1594,78.3953,PM2.5,26,83,55
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",24-02-2026 15:00,27.1594,78.3953,NO2,15,15,15
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",24-02-2026 15:00,27.1594,78.3953,NH3,2,2,2
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",24-02-2026 15:00,27.23711,78.01936,CO,20,24,22
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",24-02-2026 15:00,27.106972,78.000111,NH3,5,5,5
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",24-02-2026 15:00,27.19865833,78.00598056,CO,29,44,31
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",24-02-2026 15:00,27.19412,77.96237,SO2,12,14,13
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",24-02-2026 15:00,28.685382,77.453839,NH3,6,9,7
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",24-02-2026 15:00,28.6603346,77.3572563,CO,10,115,58
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",24-02-2026 15:00,26.730136,83.433859,PM10,23,294,114
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",24-02-2026 15:00,27.169338,78.03582,PM10,NA,NA,NA
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",24-02-2026 15:00,27.169338,78.03582,NO2,11,18,15
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",24-02-2026 15:00,27.169338,78.03582,SO2,32,51,43
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",24-02-2026 15:00,27.169338,78.03582,CO,4,30,15
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",24-02-2026 15:00,28.359581,79.414455,PM10,44,88,60
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",24-02-2026 15:00,17.4559458,78.4332152,OZONE,14,16,15
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",24-02-2026 15:00,17.417094,78.457437,NH3,4,4,4
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",24-02-2026 15:00,17.417094,78.457437,CO,10,39,34
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",24-02-2026 15:00,17.349694,78.451437,PM2.5,13,177,66
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",24-02-2026 15:00,17.393559,78.339194,CO,20,40,24
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",24-02-2026 15:00,17.429398,78.569354,NH3,4,5,4
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",24-02-2026 15:00,17.4559458,78.4332152,NO2,5,25,16
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",24-02-2026 15:00,23.8175497,91.2726974,PM10,67,167,116
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",24-02-2026 15:00,23.8175497,91.2726974,SO2,1,1,1
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",24-02-2026 15:00,23.8175497,91.2726974,CO,14,40,21
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",24-02-2026 15:00,28.406963,77.849831,PM10,90,187,134
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",24-02-2026 15:00,28.757294,77.278792,CO,31,102,75
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",24-02-2026 15:00,28.5447608,77.3231257,CO,69,135,122
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",24-02-2026 15:00,28.5447608,77.3231257,OZONE,8,13,9
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",24-02-2026 15:00,28.6245479,77.3577104,PM2.5,55,500,244
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",24-02-2026 15:00,28.6245479,77.3577104,PM10,114,500,206
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",24-02-2026 15:00,28.5898,77.3101,PM2.5,52,362,216
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",24-02-2026 15:00,28.5898,77.3101,PM10,97,278,173
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",24-02-2026 15:00,28.5898,77.3101,OZONE,3,213,186
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",24-02-2026 15:00,28.56923,77.393848,NH3,14,27,20
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",24-02-2026 15:00,28.56923,77.393848,SO2,6,22,12
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",24-02-2026 15:00,28.56923,77.393848,CO,5,150,46
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",24-02-2026 15:00,25.425602,81.917152,PM10,34,168,98
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",24-02-2026 15:00,26.83399722,80.8917361,PM10,87,155,128
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",24-02-2026 15:00,26.83399722,80.8917361,CO,25,70,28
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",24-02-2026 15:00,28.999264,77.7590354,SO2,19,33,21
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",24-02-2026 15:00,28.999264,77.7590354,CO,48,86,68
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",24-02-2026 15:00,28.9535882,77.7622941,NO2,27,112,62
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",24-02-2026 15:00,28.9535882,77.7622941,SO2,3,10,7
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",24-02-2026 15:00,28.9535882,77.7622941,CO,40,101,74
