s,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",24-02-2026 15:00,26.80365,84.51954,SO2,8,14,10
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",24-02-2026 15:00,25.265194,87.012947,NO2,6,11,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",24-02-2026 15:00,25.265194,87.012947,SO2,52,62,58
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",24-02-2026 15:00,25.265194,87.012947,CO,79,96,88
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",24-02-2026 15:00,25.56752,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",24-02-2026 15:00,25.56752,83.966379,SO2,1,33,20
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",24-02-2026 15:00,25.56752,83.966379,CO,20,28,24
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",24-02-2026 15:00,25.7808257,84.7446768,PM2.5,12,180,63
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",24-02-2026 15:00,25.7808257,84.7446768,NO2,1,1,1
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24-02-2026 15:00,24.7955,84.9994,SO2,27,29,28
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24-02-2026 15:00,24.7955,84.9994,CO,38,63,48
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24-02-2026 15:00,24.792403,84.992416,NO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,PM2.5,64,107,80
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,SO2,13,19,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,CO,24,36,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-02-2026 15:00,16.9872867,81.7363176,NO2,12,112,51
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-02-2026 15:00,16.9872867,81.7363176,SO2,1,12,7
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",24-02-2026 15:00,13.67,79.35,SO2,5,12,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",24-02-2026 15:00,27.103358,93.679645,SO2,10,12,10
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",24-02-2026 15:00,26.1875,91.744194,NH3,1,1,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",24-02-2026 15:00,26.1875,91.744194,OZONE,12,23,16
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-02-2026 15:00,16.5150833,80.5181667,NH3,3,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-02-2026 15:00,16.5150833,80.5181667,CO,14,28,21
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",24-02-2026 15:00,14.675886,77.593027,PM10,48,84,64
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",24-02-2026 15:00,26.146529,87.454184,PM10,25,124,79
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",24-02-2026 15:00,26.146529,87.454184,SO2,19,59,39
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",24-02-2026 15:00,26.80365,84.51954,PM2.5,38,240,90
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",24-02-2026 15:00,16.486692,80.699436,PM10,48,62,54
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",24-02-2026 15:00,16.486692,80.699436,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",24-02-2026 15:00,16.509717,80.612222,OZONE,8,20,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",24-02-2026 15:00,26.446912,91.439057,NO2,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24-02-2026 15:00,24.82827,92.79525,OZONE,2,6,4
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24-02-2026 15:00,24.762518,84.982348,CO,18,52,31
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",24-02-2026 15:00,25.697189,85.2459,NO2,57,131,89
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",24-02-2026 15:00,17.72,83.3,NO2,31,147,71
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",24-02-2026 15:00,17.72,83.3,CO,8,56,33
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24-02-2026 15:00,24.792403,84.992416,SO2,43,46,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",24-02-2026 15:00,25.592539,85.227158,CO,29,120,58
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",24-02-2026 15:00,25.592539,85.227158,OZONE,19,90,60
India,Bihar,Patna,"Muradpur, Patna - BSPCB",24-02-2026 15:00,25.619651,85.147382,PM10,65,276,146
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",24-02-2026 15:00,25.599486,85.113666,NO2,45,81,57
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",24-02-2026 15:00,25.599486,85.113666,OZONE,1,39,20
India,Bihar,Patna,"Samanpura, Patna - BSPCB",24-02-2026 15:00,25.596727,85.085624,PM10,84,227,149
India,Bihar,Patna,"Samanpura, Patna - BSPCB",24-02-2026 15:00,25.596727,85.085624,NO2,36,63,48
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",24-02-2026 15:00,25.366336,87.117468,SO2,12,19,16
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",24-02-2026 15:00,30.735567,76.775714,OZONE,5,171,74
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",24-02-2026 15:00,30.751462,76.762879,PM2.5,94,178,144
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",24-02-2026 15:00,30.751462,76.762879,SO2,1,31,8
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",24-02-2026 15:00,21.194815,81.31477,CO,19,59,44
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",24-02-2026 15:00,21.185571,81.343175,PM10,NA,NA,NA
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",24-02-2026 15:00,21.185571,81.343175,NH3,NA,NA,NA
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",24-02-2026 15:00,21.185571,81.343175,CO,28,34,28
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",24-02-2026 15:00,21.224231,81.40835,CO,12,101,46
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",24-02-2026 15:00,21.224231,81.40835,OZONE,13,34,24
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",24-02-2026 15:00,22.08815,82.13737,PM2.5,52,97,72
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",24-02-2026 15:00,22.118125,83.140608,NO2,7,22,14
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",24-02-2026 15:00,22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",24-02-2026 15:00,22.118125,83.140608,SO2,4,96,32
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",24-02-2026 15:00,22.118125,83.140608,OZONE,76,110,99
India,Bihar,Munger,"Town Hall, Munger - BSPCB",24-02-2026 15:00,25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",24-02-2026 15:00,25.376776,86.471523,CO,20,106,32
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",24-02-2026 15:00,26.11442,85.39813,NO2,16,59,33
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",24-02-2026 15:00,26.11442,85.39813,OZONE,37,88,70
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",24-02-2026 15:00,26.63086,84.90051,SO2,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",24-02-2026 15:00,26.63086,84.90051,OZONE,2,9,5
India,Bihar,Munger,"Town Hall, Munger - BSPCB",24-02-2026 15:00,25.376776,86.471523,PM2.5,47,267,97
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",24-02-2026 15:00,25.560083,87.553265,PM2.5,33,123,70
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",24-02-2026 15:00,27.308328,84.531742,SO2,16,17,16
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",24-02-2026 15:00,27.308328,84.531742,CO,32,33,32
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",24-02-2026 15:00,25.0328,85.41948,NH3,3,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",24-02-2026 15:00,25.892357,86.590325,PM2.5,35,253,143
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24-02-2026 15:00,24.952822,84.002396,SO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",24-02-2026 15:00,26.2271665,84.3570427,NO2,1,4,2
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",24-02-2026 15:00,25.859655,85.77944,NH3,NA,NA,NA
India,Delhi,Delhi,"DTU, Delhi - CPCB",24-02-2026 15:00,28.7500499,77.1112615,PM10,73,258,140
India,Delhi,Delhi,"DTU, Delhi - CPCB",24-02-2026 15:00,28.7500499,77.1112615,NH3,6,10,8
India,Delhi,Delhi,"DTU, Delhi - CPCB",24-02-2026 15:00,28.7500499,77.1112615,SO2,25,37,28
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",24-02-2026 15:00,28.498571,77.26484,PM2.5,68,338,209
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",24-02-2026 15:00,28.498571,77.26484,OZONE,4,282,282
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",24-02-2026 15:00,28.5710274,77.0719006,NH3,21,28,24
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",24-02-2026 15:00,28.5710274,77.0719006,SO2,8,27,17
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",24-02-2026 15:00,28.5627763,77.1180053,CO,29,125,70
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",24-02-2026 15:00,28.6811736,77.3025234,SO2,3,46,20
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",24-02-2026 15:00,28.636429,77.201067,SO2,16,60,37
India,Delhi,Delhi,"Mundka, Delhi - DPCC",24-02-2026 15:00,28.684678,77.076574,OZONE,5,89,36
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",24-02-2026 15:00,28.60909,77.0325413,NO2,93,110,97
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",24-02-2026 15:00,28.60909,77.0325413,NH3,6,8,7
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",24-02-2026 15:00,28.60909,77.0325413,SO2,9,21,16
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",24-02-2026 15:00,28.60909,77.0325413,CO,36,69,53
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",24-02-2026 15:00,28.570173,76.933762,PM10,66,206,123
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",24-02-2026 15:00,28.570173,76.933762,NH3,10,12,11
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",24-02-2026 15:00,28.647622,77.315809,SO2,2,80,44
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",24-02-2026 15:00,28.695381,77.181665,PM10,107,446,255
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",24-02-2026 15:00,28.695381,77.181665,NO2,21,144,80
India,Delhi,Delhi,"Bawana, Delhi - DPCC",24-02-2026 15:00,28.7762,77.051074,PM10,110,414,203
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",24-02-2026 15:00,28.7256504,77.2011573,PM2.5,82,341,255
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",24-02-2026 15:00,28.7256504,77.2011573,NO2,48,187,95
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",24-02-2026 15:00,28.7256504,77.2011573,OZONE,12,321,317
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",24-02-2026 15:00,28.674045,77.131023,NH3,4,7,6
India,Delhi,Delhi,"Pusa, Delhi - DPCC",24-02-2026 15:00,28.639652,77.146275,OZONE,3,168,168
India,Delhi,Delhi,"Pusa, Delhi - IMD",24-02-2026 15:00,28.63611,77.173332,PM10,95,294,191
India,Delhi,Delhi,"Pusa, Delhi - IMD",24-02-2026 15:00,28.63611,77.173332,OZONE,42,130,63
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",24-02-2026 15:00,28.563262,77.186937,PM10,107,341,189
India,Delhi,Delhi,"Rohini, Delhi - DPCC",24-02-2026 15:00,28.732528,77.11992,NH3,8,15,11
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",24-02-2026 15:00,28.6811736,77.3025234,OZONE,23,39,25
India,Delhi,Delhi,"ITO, Delhi - CPCB",24-02-2026 15:00,28.628624,77.24106,CO,20,130,50
India,Delhi,Delhi,"ITO, Delhi - CPCB",24-02-2026 15:00,28.628624,77.24106,OZONE,19,60,24
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24-02-2026 15:00,28.58028,77.233829,PM10,105,339,200
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24-02-2026 15:00,28.58028,77.233829,NO2,28,150,87
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",24-02-2026 15:00,21.371751,81.664929,OZONE,3,5,4
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",24-02-2026 15:00,22.06631475,83.33820077,PM10,54,239,122
India,Delhi,Delhi,"Alipur, Delhi - DPCC",24-02-2026 15:00,28.815329,77.15301,NO2,25,103,56
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",24-02-2026 15:00,28.570173,76.933762,OZONE,4,152,55
India,Delhi,Delhi,"Narela, Delhi - DPCC",24-02-2026 15:00,28.822836,77.101981,PM10,106,373,206
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",24-02-2026 15:00,28.623763,77.287209,PM2.5,68,354,238
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",24-02-2026 15:00,28.623763,77.287209,NO2,26,136,86
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",24-02-2026 15:00,21.258815,81.578979,SO2,2,4,4
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",24-02-2026 15:00,21.219665,81.630094,CO,27,50,39
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",24-02-2026 15:00,28.5918245,77.2273074,NO2,7,48,24
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",24-02-2026 15:00,28.5918245,77.2273074,OZONE,2,157,157
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",24-02-2026 15:00,23.163798,72.677768,PM2.5,49,169,110
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",24-02-2026 15:00,23.163798,72.677768,PM10,110,248,162
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",24-02-2026 15:00,23.163798,72.677768,CO,34,96,48
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",24-02-2026 15:00,23.243639,72.68994,SO2,4,8,5
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",24-02-2026 15:00,23.221714,72.654328,PM2.5,79,277,197
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",24-02-2026 15:00,23.221714,72.654328,NH3,3,7,4
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",24-02-2026 15:00,23.59315,72.372792,PM2.5,14,126,56
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",24-02-2026 15:00,23.59315,72.372792,NH3,1,3,2
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",24-02-2026 15:00,28.699793,77.165453,NH3,8,11,9
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",24-02-2026 15:00,28.699793,77.165453,OZONE,18,21,19
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",24-02-2026 15:00,22.977134,72.553024,PM10,114,418,194
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",24-02-2026 15:00,22.977134,72.553024,OZONE,1,59,10
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",24-02-2026 15:00,23.020509,72.579261,PM2.5,75,191,127
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",24-02-2026 15:00,23.020509,72.579261,PM10,118,190,145
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",24-02-2026 15:00,23.020509,72.579261,SO2,12,47,26
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",24-02-2026 15:00,23.016834,72.625775,SO2,13,100,55
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",24-02-2026 15:00,23.041137,72.456691,PM10,94,174,132
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",24-02-2026 15:00,23.041137,72.456691,CO,4,30,18
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",24-02-2026 15:00,23.041137,72.456691,OZONE,1,121,39
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",24-02-2026 15:00,23.076793,72.627874,PM10,72,349,181
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",24-02-2026 15:00,23.076793,72.627874,NH3,1,9,3
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",24-02-2026 15:00,23.076793,72.627874,OZONE,1,71,25
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",24-02-2026 15:00,21.613267,73.010555,PM2.5,46,149,83
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",24-02-2026 15:00,21.613267,73.010555,CO,64,121,92
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",24-02-2026 15:00,28.593883,76.270653,SO2,9,12,10
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",24-02-2026 15:00,28.593883,76.270653,CO,10,25,16
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",24-02-2026 15:00,28.39072,77.30059,PM10,130,136,133
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",24-02-2026 15:00,28.39072,77.30059,NH3,11,12,11
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",24-02-2026 15:00,28.376058,77.315741,NO2,30,33,31
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",24-02-2026 15:00,28.376058,77.315741,NH3,10,11,10
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",24-02-2026 15:00,28.376058,77.315741,CO,12,60,44
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",24-02-2026 15:00,21.217779,72.834787,PM10,62,277,142
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",24-02-2026 15:00,21.217779,72.834787,NO2,20,62,39
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",24-02-2026 15:00,21.217779,72.834787,NH3,3,5,3
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",24-02-2026 15:00,22.320153,73.216285,NH3,1,5,3
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",24-02-2026 15:00,22.969611,72.6435,PM2.5,79,234,142
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",24-02-2026 15:00,22.969611,72.6435,PM10,99,225,139
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",24-02-2026 15:00,28.4417,77.3217,PM2.5,98,114,112
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",24-02-2026 15:00,28.4417,77.3217,OZONE,17,19,18
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",24-02-2026 15:00,29.503664,75.467934,NO2,18,20,19
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",24-02-2026 15:00,28.422681,77.148944,PM10,87,296,178
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",24-02-2026 15:00,30.379589,76.778328,CO,22,48,27
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",24-02-2026 15:00,28.6701,76.9254,NH3,12,13,13
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",24-02-2026 15:00,28.3419248,77.319699,PM10,126,420,266
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",24-02-2026 15:00,28.710508,77.249485,PM10,102,319,194
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",24-02-2026 15:00,28.710508,77.249485,NH3,6,8,6
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",24-02-2026 15:00,28.710508,77.249485,SO2,22,69,37
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",24-02-2026 15:00,28.699793,77.165453,NO2,105,156,121
India,Delhi,Delhi,"Rohini, Delhi - DPCC",24-02-2026 15:00,28.732528,77.11992,CO,8,129,52
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",24-02-2026 15:00,28.5504249,77.2159377,NO2,22,36,32
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",24-02-2026 15:00,28.5504249,77.2159377,SO2,30,38,34
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",24-02-2026 15:00,30.7057778,76.85318056,CO,6,14,11
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",24-02-2026 15:00,29.432304,76.972765,PM10,98,145,124
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",24-02-2026 15:00,29.432304,76.972765,CO,34,52,52
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",24-02-2026 15:00,28.52123,76.37138,CO,28,41,34
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",24-02-2026 15:00,28.52123,76.37138,OZONE,39,40,39
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB",24-02-2026 15:00,29.5364,75.0158,OZONE,42,86,66
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",24-02-2026 15:00,29.0272,77.0621,PM10,53,113,85
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",24-02-2026 15:00,29.0272,77.0621,NO2,12,13,12
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",24-02-2026 15:00,30.1480566,77.2893471,NH3,2,5,4
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",24-02-2026 15:00,28.360699,76.93609,NO2,62,73,68
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",24-02-2026 15:00,28.360699,76.93609,CO,9,72,40
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",24-02-2026 15:00,28.060249,76.113115,PM2.5,62,314,153
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",24-02-2026 15:00,28.060249,76.113115,PM10,57,175,106
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",24-02-2026 15:00,28.1485564,77.3320667,SO2,10,13,12
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",24-02-2026 15:00,28.1485564,77.3320667,OZONE,8,9,8
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",24-02-2026 15:00,28.3153,76.9143,PM2.5,NA,NA,NA
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",24-02-2026 15:00,30.7057778,76.85318056,NO2,22,26,25
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",24-02-2026 15:00,29.14056,75.744941,NO2,26,27,26
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",24-02-2026 15:00,29.14056,75.744941,SO2,7,14,11
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",24-02-2026 15:00,29.14056,75.744941,OZONE,12,139,63
India,Haryana,Jind,"Police Lines, Jind - HSPCB",24-02-2026 15:00,29.307814,76.337619,NO2,38,52,44
India,Haryana,Jind,"Police Lines, Jind - HSPCB",24-02-2026 15:00,29.307814,76.337619,NH3,1,3,2
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",24-02-2026 15:00,29.8006,76.4155,PM10,77,121,98
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",24-02-2026 15:00,29.8006,76.4155,NO2,30,33,31
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",24-02-2026 15:00,29.6953,77.0027,NO2,6,6,6
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",24-02-2026 15:00,29.6953,77.0027,CO,1,6,2
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",24-02-2026 15:00,30.943887,76.801991,NH3,5,7,6
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",24-02-2026 15:00,30.943887,76.801991,OZONE,20,153,81
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",24-02-2026 15:00,34.031606,75.009712,PM2.5,12,65,41
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",24-02-2026 15:00,34.031606,75.009712,SO2,2,3,2
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",24-02-2026 15:00,23.80569,86.44268,PM10,5,300,91
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",24-02-2026 15:00,23.80569,86.44268,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",24-02-2026 15:00,12.9135218,77.5950804,NH3,7,12,10
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24-02-2026 15:00,12.9352049,77.6814488,OZONE,10,61,22
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",24-02-2026 15:00,12.951913,77.539784,NO2,10,137,66
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",24-02-2026 15:00,12.9756843,77.5660749,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",24-02-2026 15:00,12.9756843,77.5660749,CO,NA,NA,NA
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",24-02-2026 15:00,13.029152,77.585901,PM2.5,17,117,52
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",24-02-2026 15:00,12.938539,77.5901,NO2,17,86,35
